date,platform,campaign_type,industry,country,impressions,clicks,CTR,CPC,ad_spend
2024-01-21,Google Ads,Search,Fintech,UAE,59886,2113,0.0353,1.26,2662.38
2024-01-22,TikTok Ads,Search,EdTech,UK,135608,5220,0.0385,1.18,6159.6
2024-06-15,TikTok Ads,Video,Healthcare,USA,92313,5991,0.0649,0.85,5092.35
2024-01-02,TikTok Ads,Shopping,SaaS,Germany,83953,5935,0.0707,1.32,7834.2
2024-02-22,TikTok Ads,Search,Healthcare,UK,91807,4489,0.0489,1.93,8663.77
2024-10-15,TikTok Ads,Search,Fintech,Canada,17666,724,0.041,0.37,267.88
2024-08-14,Meta Ads,Video,Fintech,USA,118252,3748,0.0317,0.42,1574.16
2024-04-05,TikTok Ads,Search,EdTech,UAE,92939,5176,0.0557,0.66,3416.16
2024-04-17,Meta Ads,Display,EdTech,Germany,30939,937,0.0303,0.59,552.83
2024-11-13,Google Ads,Shopping,Fintech,USA,8748,362,0.0414,1.21,438.02
2024-04-22,Meta Ads,Video,E-commerce,UAE,98264,3144,0.032,1.56,4904.64
2024-09-11,Meta Ads,Video,Fintech,Canada,173229,5092,0.0294,1.72,8758.24
2024-05-26,Meta Ads,Video,SaaS,Canada,147483,2138,0.0145,0.57,1218.66
2024-02-29,Google Ads,Shopping,SaaS,USA,116472,4006,0.0344,2.68,10736.08
2024-04-22,TikTok Ads,Shopping,EdTech,Canada,37711,2111,0.056,0.68,1435.48
2024-10-15,TikTok Ads,Shopping,E-commerce,Germany,96412,7047,0.0731,1.11,7822.17
2024-08-13,TikTok Ads,Video,Fintech,Canada,184476,8854,0.048,0.35,3098.9
2024-08-20,TikTok Ads,Search,Fintech,Germany,38828,3607,0.0929,0.97,3498.79
2024-12-25,Meta Ads,Video,SaaS,Canada,187957,4586,0.0244,2.1,9630.6
2024-11-01,Google Ads,Video,SaaS,Canada,34592,1615,0.0467,1.15,1857.25
2024-07-04,Meta Ads,Shopping,Fintech,USA,185798,5889,0.0317,0.9,5300.1
2024-12-30,TikTok Ads,Video,EdTech,India,194407,13122,0.0675,0.85,11153.7
2024-11-13,Google Ads,Search,SaaS,UAE,188062,8143,0.0433,1.8,14657.4
2024-12-14,Meta Ads,Shopping,Healthcare,India,195710,4481,0.0229,0.53,2374.93
2024-04-09,Google Ads,Display,Healthcare,Australia,198824,9046,0.0455,3.61,32656.06
2024-06-08,Meta Ads,Shopping,SaaS,USA,196962,5081,0.0258,2.06,10466.86
2024-08-29,Google Ads,Shopping,SaaS,UAE,105386,3783,0.0359,1.82,6885.06
2024-09-05,Google Ads,Search,Healthcare,UAE,49425,1996,0.0404,1.27,2534.92
2024-12-26,Meta Ads,Video,E-commerce,Canada,191141,4453,0.0233,1.23,5477.19
2024-05-23,TikTok Ads,Shopping,EdTech,Canada,91900,4696,0.0511,0.53,2488.88
2024-11-26,Google Ads,Video,Healthcare,Canada,11801,795,0.0674,2.97,2361.15
2024-11-16,Meta Ads,Display,Fintech,UAE,193926,5837,0.0301,1.0,5837.0
2024-02-27,Google Ads,Display,EdTech,India,35355,961,0.0272,2.22,2133.42
2024-11-12,TikTok Ads,Shopping,Healthcare,UAE,133148,9120,0.0685,0.5,4560.0
2024-01-12,Meta Ads,Video,E-commerce,Canada,104657,4029,0.0385,0.71,2860.59
2024-05-24,TikTok Ads,Shopping,Fintech,India,174160,9683,0.0556,1.84,17816.72
2024-01-05,TikTok Ads,Display,Fintech,UAE,6015,410,0.0683,1.93,791.3
2024-01-06,Meta Ads,Search,Healthcare,Australia,17763,726,0.0409,1.94,1408.44
2024-10-14,TikTok Ads,Search,EdTech,India,97193,6230,0.0641,1.6,9968.0
2024-03-06,Meta Ads,Shopping,Healthcare,UAE,58682,1748,0.0298,1.49,2604.52
2024-03-21,TikTok Ads,Display,SaaS,Canada,108196,5334,0.0493,0.99,5280.66
2024-01-08,Google Ads,Search,Fintech,India,63243,1707,0.027,2.24,3823.68
2024-08-20,Google Ads,Search,E-commerce,UAE,152979,4650,0.0304,0.79,3673.5
2024-01-08,Google Ads,Display,EdTech,USA,132600,6802,0.0513,1.53,10407.06
2024-09-30,Google Ads,Video,Fintech,Australia,110977,4150,0.0374,1.13,4689.5
2024-03-07,Google Ads,Search,EdTech,UK,87152,3599,0.0413,2.63,9465.37
2024-08-16,Meta Ads,Shopping,Fintech,UAE,164096,1919,0.0117,0.66,1266.54
2024-08-10,Meta Ads,Shopping,Healthcare,Germany,21389,941,0.044,0.8,752.8
2024-04-27,Google Ads,Shopping,Healthcare,India,69323,2169,0.0313,2.19,4750.11
2024-05-17,Google Ads,Display,SaaS,UAE,138291,3318,0.024,0.83,2753.94
2024-11-29,TikTok Ads,Shopping,EdTech,UK,72444,2339,0.0323,1.39,3251.21
2024-12-04,Google Ads,Search,Healthcare,UAE,160002,7520,0.047,2.96,22259.2
2024-08-12,Meta Ads,Search,E-commerce,USA,16246,448,0.0276,1.99,891.52
2024-06-05,Meta Ads,Shopping,Fintech,Germany,15789,423,0.0268,1.81,765.63
2024-06-05,Google Ads,Search,EdTech,Australia,25103,710,0.0283,2.34,1661.4
2024-12-28,TikTok Ads,Display,SaaS,India,138515,4377,0.0316,0.51,2232.27
2024-02-20,Meta Ads,Search,EdTech,Australia,180399,6025,0.0334,0.7,4217.5
2024-05-16,Meta Ads,Video,E-commerce,UAE,62545,606,0.0097,1.96,1187.76
2024-06-30,Google Ads,Shopping,Fintech,Canada,72526,2146,0.0296,1.56,3347.76
2024-07-07,Meta Ads,Display,EdTech,Australia,67823,2075,0.0306,1.83,3797.25
2024-06-23,Meta Ads,Display,E-commerce,India,164937,4453,0.027,1.08,4809.24
2024-12-14,Meta Ads,Search,EdTech,UK,114575,2039,0.0178,0.53,1080.67
2024-06-13,Google Ads,Shopping,Fintech,Germany,132157,2999,0.0227,0.93,2789.07
2024-01-11,TikTok Ads,Video,Healthcare,Germany,108145,3882,0.0359,0.94,3649.08
2024-04-29,TikTok Ads,Search,SaaS,India,72642,3014,0.0415,1.16,3496.24
2024-04-07,TikTok Ads,Display,Healthcare,UAE,131678,8374,0.0636,0.91,7620.34
2024-05-13,Google Ads,Video,E-commerce,Australia,34402,1314,0.0382,3.29,4323.06
2024-10-08,Meta Ads,Video,Healthcare,Germany,58276,1183,0.0203,1.49,1762.67
2024-08-14,Google Ads,Shopping,EdTech,Canada,168059,3462,0.0206,3.08,10662.96
2024-08-16,Meta Ads,Video,Fintech,Canada,91123,1567,0.0172,2.33,3651.11
2024-05-28,Meta Ads,Shopping,Fintech,Australia,16344,452,0.0277,0.9,406.8
2024-03-26,TikTok Ads,Video,SaaS,UAE,99457,5808,0.0584,1.6,9292.8
2024-06-07,Meta Ads,Video,E-commerce,India,57375,843,0.0147,1.61,1357.23
2024-04-17,Google Ads,Display,E-commerce,UAE,115017,2771,0.0241,2.56,7093.76
2024-09-28,Meta Ads,Search,EdTech,USA,90431,1853,0.0205,1.7,3150.1
2024-03-13,Meta Ads,Search,E-commerce,USA,140566,5046,0.0359,0.62,3128.52
2024-02-28,Meta Ads,Search,EdTech,Germany,133583,3954,0.0296,0.65,2570.1
2024-04-08,Google Ads,Video,E-commerce,USA,198555,13104,0.066,2.46,32235.84
2024-09-23,Meta Ads,Display,Healthcare,UK,88560,1319,0.0149,0.52,685.88
2024-06-24,Google Ads,Display,Fintech,UAE,117217,5602,0.0478,3.49,19550.98
2024-08-24,Meta Ads,Shopping,Fintech,UAE,104616,4048,0.0387,1.77,7164.96
2024-02-14,TikTok Ads,Video,Healthcare,Canada,79553,2712,0.0341,0.31,840.72
2024-08-20,Google Ads,Search,Fintech,USA,170904,4751,0.0278,1.12,5321.12
2024-07-14,Google Ads,Search,Healthcare,India,88807,4999,0.0563,2.37,11847.63
2024-08-14,Meta Ads,Shopping,EdTech,Canada,157499,1574,0.01,1.76,2770.24
2024-09-27,Meta Ads,Search,E-commerce,Australia,46846,983,0.021,0.72,707.76
2024-09-18,TikTok Ads,Search,Fintech,Germany,104986,6131,0.0584,0.36,2207.16
2024-05-24,Meta Ads,Shopping,EdTech,India,172516,6314,0.0366,0.72,4546.08
2024-08-23,Meta Ads,Display,E-commerce,India,187099,2469,0.0132,0.83,2049.27
2024-04-04,Google Ads,Shopping,SaaS,India,111661,3930,0.0352,0.84,3301.2
2024-06-09,Meta Ads,Display,EdTech,Germany,79441,3082,0.0388,0.53,1633.46
2024-04-15,Google Ads,Display,SaaS,Australia,14078,763,0.0542,2.26,1724.38
2024-01-07,Meta Ads,Shopping,Fintech,Australia,182235,5047,0.0277,0.74,3734.78
2024-02-24,Meta Ads,Video,SaaS,Canada,128629,2109,0.0164,1.29,2720.61
2024-04-02,Meta Ads,Display,Fintech,Canada,21309,432,0.0203,1.66,717.12
2024-09-06,Google Ads,Search,Fintech,USA,167932,6717,0.04,2.46,16523.82
2024-01-08,TikTok Ads,Search,Fintech,UK,162795,8107,0.0498,0.96,7782.72
2024-08-18,Meta Ads,Search,EdTech,UK,50893,1124,0.0221,1.41,1584.84
2024-09-22,TikTok Ads,Display,SaaS,UAE,81619,3623,0.0444,0.47,1702.81
2024-07-25,Meta Ads,Search,EdTech,Germany,154381,1698,0.011,1.85,3141.3
2024-01-12,Google Ads,Search,Fintech,India,124273,3603,0.029,1.55,5584.65
2024-12-01,Meta Ads,Video,Healthcare,Germany,6969,176,0.0253,1.08,190.08
2024-05-24,TikTok Ads,Display,SaaS,UK,29089,1076,0.037,0.65,699.4
2024-07-10,Google Ads,Shopping,SaaS,UK,10704,489,0.0457,1.71,836.19
2024-12-04,TikTok Ads,Search,E-commerce,Australia,22772,1045,0.0459,0.95,992.75
2024-04-11,Google Ads,Search,Fintech,Germany,68449,3285,0.048,2.38,7818.3
2024-10-26,Google Ads,Search,SaaS,UAE,51819,2497,0.0482,2.88,7191.36
2024-11-19,Google Ads,Video,Fintech,Australia,173722,3821,0.022,1.54,5884.34
2024-12-15,Google Ads,Shopping,SaaS,USA,119014,5938,0.0499,2.88,17101.44
2024-05-20,Google Ads,Search,SaaS,Australia,159741,6868,0.043,1.37,9409.16
2024-02-29,Google Ads,Shopping,Fintech,Germany,167982,7693,0.0458,2.64,20309.52
2024-06-08,Google Ads,Video,Fintech,Germany,96658,2822,0.0292,3.37,9510.14
2024-01-19,Meta Ads,Video,EdTech,India,43467,991,0.0228,1.9,1882.9
2024-01-05,Google Ads,Search,EdTech,UK,41378,2023,0.0489,1.23,2488.29
2024-10-26,TikTok Ads,Video,EdTech,India,100673,5718,0.0568,1.05,6003.9
2024-12-13,TikTok Ads,Shopping,Healthcare,Australia,191994,14898,0.0776,1.08,16089.84
