campaign_id,campaign_num,utm_campaign,touchpoint_clicks,touchpoint_impressions,touchpoint_marketing_cost,campaign_type,campaign_duration,campaign_channel_used,campaign_location,campaign_language,campaign_dataset_date,performance_campaign_id,campaign_start_date,campaign_end_date,performance_impressions,performance_clicks,campaign_total_cost_usd,campaign_total_revenue_usd,customer_id,touchpoint_id
CMP06,6,CMP06_display,7,158,2.91,Display,15 days,Instagram,New York,German,06-01-2021,CAMP00006,08-07-2025,21-07-2025,177469,7979,3540.34,3885.94,C001,TP1342
CMP11,11,CMP11_display,7,64,0.54,Display,45 days,Email,New York,Spanish,11-01-2021,CAMP00011,27-11-2025,04-12-2025,53998,1343,2491.07,4360.88,C001,TP1572
CMP13,13,CMP13_social_media,5,97,0.78,Social Media,60 days,Facebook,Chicago,Mandarin,13-01-2021,CAMP00013,10-04-2025,15-04-2025,194692,11436,973.85,2310.62,C001,TP889
CMP19,19,CMP19_social_media,8,69,7.83,Social Media,60 days,Google Ads,New York,French,19-01-2021,CAMP00019,15-09-2025,24-09-2025,260948,21678,4608.11,7497.56,C001,TP928
CMP07,7,CMP07_email,4,43,9.34,Email,60 days,Website,Los Angeles,Spanish,07-01-2021,CAMP00007,21-01-2025,05-02-2025,174231,2160,1999.53,3306.37,C001,TP1395
CMP03,3,CMP03_influencer,4,193,7.35,Influencer,30 days,YouTube,Los Angeles,French,03-01-2021,CAMP00003,28-09-2025,06-10-2025,239365,16478,1000.39,1902.24,C001,TP1038
CMP19,19,CMP19_social_media,8,63,6.19,Social Media,60 days,Google Ads,New York,French,19-01-2021,CAMP00019,15-09-2025,24-09-2025,260948,21678,4608.11,7497.56,C001,TP1165
CMP14,14,CMP14_email,9,17,7.08,Email,45 days,Instagram,New York,German,14-01-2021,CAMP00014,26-12-2025,31-12-2025,207001,14356,2479.11,2827.93,C001,TP609
CMP06,6,CMP06_display,2,137,5.15,Display,15 days,Instagram,New York,German,06-01-2021,CAMP00006,08-07-2025,21-07-2025,177469,7979,3540.34,3885.94,C002,TP360
CMP15,15,CMP15_display,8,119,8.51,Display,45 days,Website,Chicago,Spanish,15-01-2021,CAMP00015,01-06-2025,06-06-2025,257862,23315,684.67,2001.69,C002,TP088
CMP05,5,CMP05_email,3,139,4.81,Email,15 days,YouTube,Los Angeles,Mandarin,05-01-2021,CAMP00005,13-03-2025,22-03-2025,285472,4155,4935.48,14111.31,C002,TP1751
CMP07,7,CMP07_email,9,54,2.0,Email,60 days,Website,Los Angeles,Spanish,07-01-2021,CAMP00007,21-01-2025,05-02-2025,174231,2160,1999.53,3306.37,C002,TP279
CMP11,11,CMP11_display,4,176,5.56,Display,45 days,Email,New York,Spanish,11-01-2021,CAMP00011,27-11-2025,04-12-2025,53998,1343,2491.07,4360.88,C002,TP2490
CMP17,17,CMP17_display,8,189,5.82,Display,45 days,Website,Houston,English,17-01-2021,CAMP00017,30-05-2025,14-06-2025,12103,168,4112.15,11010.78,C003,TP2064
CMP04,4,CMP04_display,0,193,1.12,Display,60 days,YouTube,Miami,Mandarin,04-01-2021,CAMP00004,17-04-2025,30-04-2025,156382,2672,1252.63,2209.74,C003,TP1218
CMP06,6,CMP06_display,7,15,3.89,Display,15 days,Instagram,New York,German,06-01-2021,CAMP00006,08-07-2025,21-07-2025,177469,7979,3540.34,3885.94,C003,TP2147
CMP08,8,CMP08_search,2,33,3.24,Search,45 days,Google Ads,Los Angeles,Mandarin,08-01-2021,CAMP00008,13-04-2025,26-04-2025,234598,21435,3793.91,7159.09,C003,TP2550
CMP15,15,CMP15_display,2,99,8.8,Display,45 days,Website,Chicago,Spanish,15-01-2021,CAMP00015,01-06-2025,06-06-2025,257862,23315,684.67,2001.69,C004,TP450
CMP10,10,CMP10_email,0,199,9.82,Email,15 days,Instagram,Los Angeles,English,10-01-2021,CAMP00010,03-08-2025,16-08-2025,195376,2474,1142.07,2323.19,C004,TP1288
CMP05,5,CMP05_email,8,185,1.7,Email,15 days,YouTube,Los Angeles,Mandarin,05-01-2021,CAMP00005,13-03-2025,22-03-2025,285472,4155,4935.48,14111.31,C004,TP1802
CMP12,12,CMP12_influencer,2,13,7.91,Influencer,60 days,Google Ads,Los Angeles,Mandarin,12-01-2021,CAMP00012,29-03-2025,06-04-2025,107304,7128,3882.92,7276.43,C004,TP2346
CMP16,16,CMP16_social_media,0,34,9.41,Social Media,60 days,YouTube,New York,German,16-01-2021,CAMP00016,11-05-2025,24-05-2025,159957,8149,4229.14,8648.05,C004,TP2611
CMP11,11,CMP11_display,6,102,2.2,Display,45 days,Email,New York,Spanish,11-01-2021,CAMP00011,27-11-2025,04-12-2025,53998,1343,2491.07,4360.88,C004,TP2013
CMP07,7,CMP07_email,4,111,7.5,Email,60 days,Website,Los Angeles,Spanish,07-01-2021,CAMP00007,21-01-2025,05-02-2025,174231,2160,1999.53,3306.37,C004,TP677
CMP19,19,CMP19_social_media,3,91,9.41,Social Media,60 days,Google Ads,New York,French,19-01-2021,CAMP00019,15-09-2025,24-09-2025,260948,21678,4608.11,7497.56,C004,TP1312
CMP17,17,CMP17_display,7,81,8.63,Display,45 days,Website,Houston,English,17-01-2021,CAMP00017,30-05-2025,14-06-2025,12103,168,4112.15,11010.78,C005,TP1479
CMP04,4,CMP04_display,5,87,6.29,Display,60 days,YouTube,Miami,Mandarin,04-01-2021,CAMP00004,17-04-2025,30-04-2025,156382,2672,1252.63,2209.74,C005,TP570
CMP14,14,CMP14_email,4,86,1.21,Email,45 days,Instagram,New York,German,14-01-2021,CAMP00014,26-12-2025,31-12-2025,207001,14356,2479.11,2827.93,C005,TP845
CMP09,9,CMP09_social_media,5,2,6.96,Social Media,15 days,Facebook,Chicago,German,09-01-2021,CAMP00009,02-05-2025,08-05-2025,209438,2474,2385.72,2800.53,C005,TP177
CMP11,11,CMP11_display,8,81,4.73,Display,45 days,Email,New York,Spanish,11-01-2021,CAMP00011,27-11-2025,04-12-2025,53998,1343,2491.07,4360.88,C005,TP2127
CMP14,14,CMP14_email,8,23,8.35,Email,45 days,Instagram,New York,German,14-01-2021,CAMP00014,26-12-2025,31-12-2025,207001,14356,2479.11,2827.93,C005,TP990
CMP18,18,CMP18_influencer,0,184,4.86,Influencer,15 days,Instagram,Miami,French,18-01-2021,CAMP00018,05-11-2025,17-11-2025,281690,22173,3399.93,5565.65,C005,TP1157
CMP08,8,CMP08_search,5,17,6.24,Search,45 days,Google Ads,Los Angeles,Mandarin,08-01-2021,CAMP00008,13-04-2025,26-04-2025,234598,21435,3793.91,7159.09,C005,TP1412
CMP19,19,CMP19_social_media,1,106,4.92,Social Media,60 days,Google Ads,New York,French,19-01-2021,CAMP00019,15-09-2025,24-09-2025,260948,21678,4608.11,7497.56,C006,TP1307
CMP01,1,CMP01_email,8,154,3.67,Email,30 days,Google Ads,Chicago,Spanish,01-01-2021,CAMP00001,13-04-2025,19-04-2025,293520,23335,1052.39,2236.02,C006,TP461
CMP08,8,CMP08_search,9,4,2.98,Search,45 days,Google Ads,Los Angeles,Mandarin,08-01-2021,CAMP00008,13-04-2025,26-04-2025,234598,21435,3793.91,7159.09,C006,TP1017
CMP04,4,CMP04_display,0,151,9.83,Display,60 days,YouTube,Miami,Mandarin,04-01-2021,CAMP00004,17-04-2025,30-04-2025,156382,2672,1252.63,2209.74,C006,TP1269
CMP01,1,CMP01_email,7,142,2.08,Email,30 days,Google Ads,Chicago,Spanish,01-01-2021,CAMP00001,13-04-2025,19-04-2025,293520,23335,1052.39,2236.02,C007,TP2240
CMP18,18,CMP18_influencer,3,157,3.61,Influencer,15 days,Instagram,Miami,French,18-01-2021,CAMP00018,05-11-2025,17-11-2025,281690,22173,3399.93,5565.65,C007,TP1973
CMP18,18,CMP18_influencer,2,32,0.87,Influencer,15 days,Instagram,Miami,French,18-01-2021,CAMP00018,05-11-2025,17-11-2025,281690,22173,3399.93,5565.65,C007,TP1737
CMP13,13,CMP13_social_media,4,50,1.15,Social Media,60 days,Facebook,Chicago,Mandarin,13-01-2021,CAMP00013,10-04-2025,15-04-2025,194692,11436,973.85,2310.62,C007,TP2329
CMP07,7,CMP07_email,1,93,2.66,Email,60 days,Website,Los Angeles,Spanish,07-01-2021,CAMP00007,21-01-2025,05-02-2025,174231,2160,1999.53,3306.37,C007,TP2540
CMP12,12,CMP12_influencer,4,21,1.35,Influencer,60 days,Google Ads,Los Angeles,Mandarin,12-01-2021,CAMP00012,29-03-2025,06-04-2025,107304,7128,3882.92,7276.43,C007,TP835
CMP16,16,CMP16_social_media,4,97,6.36,Social Media,60 days,YouTube,New York,German,16-01-2021,CAMP00016,11-05-2025,24-05-2025,159957,8149,4229.14,8648.05,C007,TP1217
CMP11,11,CMP11_display,1,200,5.07,Display,45 days,Email,New York,Spanish,11-01-2021,CAMP00011,27-11-2025,04-12-2025,53998,1343,2491.07,4360.88,C008,TP947
CMP11,11,CMP11_display,4,199,6.98,Display,45 days,Email,New York,Spanish,11-01-2021,CAMP00011,27-11-2025,04-12-2025,53998,1343,2491.07,4360.88,C008,TP1698
CMP11,11,CMP11_display,10,85,2.58,Display,45 days,Email,New York,Spanish,11-01-2021,CAMP00011,27-11-2025,04-12-2025,53998,1343,2491.07,4360.88,C008,TP1194
CMP11,11,CMP11_display,2,177,7.06,Display,45 days,Email,New York,Spanish,11-01-2021,CAMP00011,27-11-2025,04-12-2025,53998,1343,2491.07,4360.88,C008,TP2409
CMP12,12,CMP12_influencer,6,187,8.96,Influencer,60 days,Google Ads,Los Angeles,Mandarin,12-01-2021,CAMP00012,29-03-2025,06-04-2025,107304,7128,3882.92,7276.43,C008,TP1139
CMP11,11,CMP11_display,2,55,8.91,Display,45 days,Email,New York,Spanish,11-01-2021,CAMP00011,27-11-2025,04-12-2025,53998,1343,2491.07,4360.88,C009,TP1791
CMP02,2,CMP02_email,4,15,1.92,Email,60 days,Google Ads,New York,German,02-01-2021,CAMP00002,15-12-2025,24-12-2025,200340,15841,3964.9,11740.15,C009,TP828
CMP05,5,CMP05_email,8,101,5.53,Email,15 days,YouTube,Los Angeles,Mandarin,05-01-2021,CAMP00005,13-03-2025,22-03-2025,285472,4155,4935.48,14111.31,C009,TP2133
CMP03,3,CMP03_influencer,2,42,7.86,Influencer,30 days,YouTube,Los Angeles,French,03-01-2021,CAMP00003,28-09-2025,06-10-2025,239365,16478,1000.39,1902.24,C009,TP2436
CMP02,2,CMP02_email,0,191,9.16,Email,60 days,Google Ads,New York,German,02-01-2021,CAMP00002,15-12-2025,24-12-2025,200340,15841,3964.9,11740.15,C009,TP368
CMP10,10,CMP10_email,1,14,7.5,Email,15 days,Instagram,Los Angeles,English,10-01-2021,CAMP00010,03-08-2025,16-08-2025,195376,2474,1142.07,2323.19,C009,TP2174
CMP09,9,CMP09_social_media,4,181,7.52,Social Media,15 days,Facebook,Chicago,German,09-01-2021,CAMP00009,02-05-2025,08-05-2025,209438,2474,2385.72,2800.53,C009,TP133
CMP03,3,CMP03_influencer,10,7,9.77,Influencer,30 days,YouTube,Los Angeles,French,03-01-2021,CAMP00003,28-09-2025,06-10-2025,239365,16478,1000.39,1902.24,C009,TP2521
CMP19,19,CMP19_social_media,7,14,3.03,Social Media,60 days,Google Ads,New York,French,19-01-2021,CAMP00019,15-09-2025,24-09-2025,260948,21678,4608.11,7497.56,C010,TP984
CMP07,7,CMP07_email,3,93,6.14,Email,60 days,Website,Los Angeles,Spanish,07-01-2021,CAMP00007,21-01-2025,05-02-2025,174231,2160,1999.53,3306.37,C010,TP1357
