customer_id,touchpoint_id,first_conversion_timestamp,prior_purchase_count,customer_lifetime_value,conversion_flag,conversion_value,journey_converted,attribution_eligible,eligible_touchpoints
C001,TP1342,2024-03-05 21:27:00,1,2040.61,1,421.98,1,1,1
C001,TP1572,2024-03-05 21:27:00,10,4672.74,0,0.0,1,0,1
C001,TP889,2024-03-05 21:27:00,3,3653.16,0,0.0,1,0,1
C001,TP928,2024-03-05 21:27:00,9,3071.43,1,239.06,1,0,1
C001,TP1395,2024-03-05 21:27:00,3,2941.85,0,0.0,1,0,1
C001,TP1038,2024-03-05 21:27:00,2,2988.08,0,0.0,1,0,1
C001,TP1165,2024-03-05 21:27:00,7,3786.8,0,0.0,1,0,1
C001,TP609,2024-03-05 21:27:00,3,2448.5,1,489.29,1,0,1
C002,TP360,2024-04-08 00:25:00,8,3521.47,0,0.0,1,1,2
C002,TP088,2024-04-08 00:25:00,9,198.11,1,154.76,1,1,2
C002,TP1751,2024-04-08 00:25:00,10,445.68,1,182.85,1,0,2
C002,TP279,2024-04-08 00:25:00,4,740.64,0,0.0,1,0,2
C002,TP2490,2024-04-08 00:25:00,8,437.53,0,0.0,1,0,2
C003,TP2064,2024-03-30 18:44:00,8,677.73,0,0.0,1,1,3
C003,TP1218,2024-03-30 18:44:00,5,642.31,0,0.0,1,1,3
C003,TP2147,2024-03-30 18:44:00,8,1903.39,1,320.18,1,1,3
C003,TP2550,2024-03-30 18:44:00,1,3186.94,0,0.0,1,0,3
C004,TP450,2024-04-08 23:15:00,0,2428.42,1,133.62,1,1,1
C004,TP1288,2024-04-08 23:15:00,0,3272.79,0,0.0,1,0,1
C004,TP1802,2024-04-08 23:15:00,4,1043.48,1,379.56,1,0,1
C004,TP2346,2024-04-08 23:15:00,6,1161.32,0,0.0,1,0,1
C004,TP2611,2024-04-08 23:15:00,6,489.62,1,178.22,1,0,1
C004,TP2013,2024-04-08 23:15:00,0,1470.08,0,0.0,1,0,1
C004,TP677,2024-04-08 23:15:00,5,1208.12,0,0.0,1,0,1
C004,TP1312,2024-04-08 23:15:00,6,4860.94,0,0.0,1,0,1
C005,TP1479,2024-03-31 18:02:00,0,2070.0,1,298.51,1,1,1
C005,TP570,2024-03-31 18:02:00,1,2324.94,1,447.4,1,0,1
C005,TP845,2024-03-31 18:02:00,8,2635.33,0,0.0,1,0,1
C005,TP177,2024-03-31 18:02:00,6,4463.65,0,0.0,1,0,1
C005,TP2127,2024-03-31 18:02:00,1,4169.03,0,0.0,1,0,1
C005,TP990,2024-03-31 18:02:00,6,3242.49,1,107.43,1,0,1
