touchpoint_id,customer_id,campaign_id,interaction_timestamp,interaction_date,touchpoint_order,total_customer_touchpoints,channel_type,utm_source,utm_medium,utm_campaign,consumer_stage,device_type,session_duration_sec,touchpoint_clicks,touchpoint_impressions,survey_engagement_rating,survey_sentiment_rating,survey_cross_channel_influence_rating,survey_perceived_value_rating,survey_effectiveness_rating,touchpoint_marketing_cost
TP1342,C001,CMP06,2024-03-05 21:27:00,2024-03-05,1,8,Mobile,mobile_app,mobile_push,CMP06_display,Consideration,Desktop,1059,7,158,0.21,0.53,0.24,0.47,0.59,2.91
TP1572,C001,CMP11,2024-03-06 22:32:00,2024-03-06,2,8,In-Store,offline_store,offline,CMP11_display,Conversion,Desktop,608,7,64,0.55,-0.3,0.54,0.63,0.47,0.54
TP889,C001,CMP13,2024-03-13 00:00:00,2024-03-13,3,8,Email,email,email,CMP13_social_media,Retention,Tablet,138,5,97,0.79,0.25,0.75,0.27,0.97,0.78
TP928,C001,CMP19,2024-03-22 20:42:00,2024-03-22,4,8,In-Store,offline_store,offline,CMP19_social_media,Retention,Mobile,638,8,69,0.76,-0.52,0.61,0.79,0.45,7.83
TP1395,C001,CMP07,2024-04-03 03:05:00,2024-04-03,5,8,Social,social_media,paid_social,CMP07_email,Conversion,Tablet,581,4,43,0.76,-0.13,0.93,0.08,0.14,9.34
TP1038,C001,CMP03,2024-04-16 21:10:00,2024-04-16,6,8,Email,email,email,CMP03_influencer,Awareness,Desktop,788,4,193,0.66,-0.09,0.58,0.53,0.53,7.35
TP1165,C001,CMP19,2024-04-30 01:41:00,2024-04-30,7,8,Web,website,web_referral,CMP19_social_media,Consideration,Desktop,470,8,63,0.27,0.38,0.96,0.6,0.49,6.19
TP609,C001,CMP14,2024-04-30 19:09:00,2024-04-30,8,8,Social,social_media,paid_social,CMP14_email,Awareness,Mobile,646,9,17,0.45,0.81,0.37,0.02,0.44,7.08
TP360,C002,CMP06,2024-03-07 22:38:00,2024-03-07,1,5,Social,social_media,paid_social,CMP06_display,Consideration,Desktop,139,2,137,0.72,-0.42,0.61,0.33,0.07,5.15
TP088,C002,CMP15,2024-04-08 00:25:00,2024-04-08,2,5,Web,website,web_referral,CMP15_display,Retention,Tablet,891,8,119,0.17,-0.83,0.62,0.21,0.45,8.51
TP1751,C002,CMP05,2024-04-23 21:11:00,2024-04-23,3,5,Web,website,web_referral,CMP05_email,Retention,Tablet,423,3,139,0.17,-0.28,0.01,0.47,0.03,4.81
TP279,C002,CMP07,2024-06-05 16:33:00,2024-06-05,4,5,Social,social_media,paid_social,CMP07_email,Conversion,Mobile,685,9,54,0.51,0.31,0.24,0.38,0.98,2.0
TP2490,C002,CMP11,2024-06-09 19:23:00,2024-06-09,5,5,In-Store,offline_store,offline,CMP11_display,Conversion,Mobile,679,4,176,0.3,0.47,0.46,0.5,0.79,5.56
TP2064,C003,CMP17,2024-03-05 17:02:00,2024-03-05,1,4,Email,email,email,CMP17_display,Retention,Tablet,120,8,189,0.67,0.82,0.65,0.06,0.92,5.82
TP1218,C003,CMP04,2024-03-13 02:42:00,2024-03-13,2,4,Social,social_media,paid_social,CMP04_display,Consideration,Tablet,398,0,193,0.59,-0.14,0.13,0.64,0.93,1.12
TP2147,C003,CMP06,2024-03-30 18:44:00,2024-03-30,3,4,In-Store,offline_store,offline,CMP06_display,Consideration,Mobile,65,7,15,0.63,0.49,0.39,0.08,0.09,3.89
TP2550,C003,CMP08,2024-06-26 15:34:00,2024-06-26,4,4,Web,website,web_referral,CMP08_search,Conversion,Tablet,802,2,33,0.95,0.06,0.47,0.1,0.45,3.24
TP450,C004,CMP15,2024-04-08 23:15:00,2024-04-08,1,8,In-Store,offline_store,offline,CMP15_display,Retention,Tablet,461,2,99,0.37,-0.8,0.94,0.34,0.81,8.8
TP1288,C004,CMP10,2024-04-12 06:35:00,2024-04-12,2,8,Mobile,mobile_app,mobile_push,CMP10_email,Retention,Mobile,527,0,199,0.52,0.49,0.09,0.97,0.53,9.82
TP1802,C004,CMP05,2024-05-02 13:40:00,2024-05-02,3,8,Social,social_media,paid_social,CMP05_email,Awareness,Tablet,1105,8,185,0.95,0.13,0.29,0.24,0.31,1.7
TP2346,C004,CMP12,2024-05-07 09:34:00,2024-05-07,4,8,Email,email,email,CMP12_influencer,Consideration,Mobile,613,2,13,0.27,-0.62,0.23,0.79,0.89,7.91
TP2611,C004,CMP16,2024-05-14 22:42:00,2024-05-14,5,8,Web,website,web_referral,CMP16_social_media,Consideration,Mobile,667,0,34,0.97,0.39,0.58,0.46,0.03,9.41
TP2013,C004,CMP11,2024-05-23 22:47:00,2024-05-23,6,8,Web,website,web_referral,CMP11_display,Conversion,Tablet,380,6,102,0.04,-0.22,0.17,0.16,0.07,2.2
TP677,C004,CMP07,2024-05-31 07:30:00,2024-05-31,7,8,Email,email,email,CMP07_email,Awareness,Mobile,129,4,111,0.35,-0.14,0.82,0.1,0.97,7.5
TP1312,C004,CMP19,2024-06-28 22:55:00,2024-06-28,8,8,Social,social_media,paid_social,CMP19_social_media,Retention,Mobile,804,3,91,0.6,-0.35,0.98,0.58,0.77,9.41
