date	platform	campaign_type	industry	country	impressions	clicks	CTR	CPC	ad_spend
21-01-2024	Google Ads	Search	Fintech	UAE	59886	2113	0.0353	1.26	2662.38
22-01-2024	TikTok Ads	Search	EdTech	UK	135608	5220	0.0385	1.18	6159.6
15-06-2024	TikTok Ads	Video	Healthcare	USA	92313	5991	0.0649	0.85	5092.35
02-01-2024	TikTok Ads	Shopping	SaaS	Germany	83953	5935	0.0707	1.32	7834.2
22-02-2024	TikTok Ads	Search	Healthcare	UK	91807	4489	0.0489	1.93	8663.77
15-10-2024	TikTok Ads	Search	Fintech	Canada	17666	724	0.041	0.37	267.88
14-08-2024	Meta Ads	Video	Fintech	USA	118252	3748	0.0317	0.42	1574.16
05-04-2024	TikTok Ads	Search	EdTech	UAE	92939	5176	0.0557	0.66	3416.16
17-04-2024	Meta Ads	Display	EdTech	Germany	30939	937	0.0303	0.59	552.83
13-11-2024	Google Ads	Shopping	Fintech	USA	8748	362	0.0414	1.21	438.02
22-04-2024	Meta Ads	Video	E-commerce	UAE	98264	3144	0.032	1.56	4904.64
11-09-2024	Meta Ads	Video	Fintech	Canada	173229	5092	0.0294	1.72	8758.24
26-05-2024	Meta Ads	Video	SaaS	Canada	147483	2138	0.0145	0.57	1218.66
29-02-2024	Google Ads	Shopping	SaaS	USA	116472	4006	0.0344	2.68	10736.08
22-04-2024	TikTok Ads	Shopping	EdTech	Canada	37711	2111	0.056	0.68	1435.48
15-10-2024	TikTok Ads	Shopping	E-commerce	Germany	96412	7047	0.0731	1.11	7822.17
13-08-2024	TikTok Ads	Video	Fintech	Canada	184476	8854	0.048	0.35	3098.9
20-08-2024	TikTok Ads	Search	Fintech	Germany	38828	3607	0.0929	0.97	3498.79
25-12-2024	Meta Ads	Video	SaaS	Canada	187957	4586	0.0244	2.1	9630.6
01-11-2024	Google Ads	Video	SaaS	Canada	34592	1615	0.0467	1.15	1857.25
04-07-2024	Meta Ads	Shopping	Fintech	USA	185798	5889	0.0317	0.9	5300.1
30-12-2024	TikTok Ads	Video	EdTech	India	194407	13122	0.0675	0.85	11153.7
13-11-2024	Google Ads	Search	SaaS	UAE	188062	8143	0.0433	1.8	14657.4
14-12-2024	Meta Ads	Shopping	Healthcare	India	195710	4481	0.0229	0.53	2374.93
09-04-2024	Google Ads	Display	Healthcare	Australia	198824	9046	0.0455	3.61	32656.06
08-06-2024	Meta Ads	Shopping	SaaS	USA	196962	5081	0.0258	2.06	10466.86
29-08-2024	Google Ads	Shopping	SaaS	UAE	105386	3783	0.0359	1.82	6885.06
05-09-2024	Google Ads	Search	Healthcare	UAE	49425	1996	0.0404	1.27	2534.92
26-12-2024	Meta Ads	Video	E-commerce	Canada	191141	4453	0.0233	1.23	5477.19
23-05-2024	TikTok Ads	Shopping	EdTech	Canada	91900	4696	0.0511	0.53	2488.88
26-11-2024	Google Ads	Video	Healthcare	Canada	11801	795	0.0674	2.97	2361.15
16-11-2024	Meta Ads	Display	Fintech	UAE	193926	5837	0.0301	1	5837
27-02-2024	Google Ads	Display	EdTech	India	35355	961	0.0272	2.22	2133.42
12-11-2024	TikTok Ads	Shopping	Healthcare	UAE	133148	9120	0.0685	0.5	4560
12-01-2024	Meta Ads	Video	E-commerce	Canada	104657	4029	0.0385	0.71	2860.59
24-05-2024	TikTok Ads	Shopping	Fintech	India	174160	9683	0.0556	1.84	17816.72
05-01-2024	TikTok Ads	Display	Fintech	UAE	6015	410	0.0683	1.93	791.3
06-01-2024	Meta Ads	Search	Healthcare	Australia	17763	726	0.0409	1.94	1408.44
14-10-2024	TikTok Ads	Search	EdTech	India	97193	6230	0.0641	1.6	9968
06-03-2024	Meta Ads	Shopping	Healthcare	UAE	58682	1748	0.0298	1.49	2604.52
21-03-2024	TikTok Ads	Display	SaaS	Canada	108196	5334	0.0493	0.99	5280.66
08-01-2024	Google Ads	Search	Fintech	India	63243	1707	0.027	2.24	3823.68
20-08-2024	Google Ads	Search	E-commerce	UAE	152979	4650	0.0304	0.79	3673.5
08-01-2024	Google Ads	Display	EdTech	USA	132600	6802	0.0513	1.53	10407.06
30-09-2024	Google Ads	Video	Fintech	Australia	110977	4150	0.0374	1.13	4689.5
07-03-2024	Google Ads	Search	EdTech	UK	87152	3599	0.0413	2.63	9465.37
16-08-2024	Meta Ads	Shopping	Fintech	UAE	164096	1919	0.0117	0.66	1266.54
10-08-2024	Meta Ads	Shopping	Healthcare	Germany	21389	941	0.044	0.8	752.8
27-04-2024	Google Ads	Shopping	Healthcare	India	69323	2169	0.0313	2.19	4750.11
17-05-2024	Google Ads	Display	SaaS	UAE	138291	3318	0.024	0.83	2753.94
29-11-2024	TikTok Ads	Shopping	EdTech	UK	72444	2339	0.0323	1.39	3251.21
04-12-2024	Google Ads	Search	Healthcare	UAE	160002	7520	0.047	2.96	22259.2
12-08-2024	Meta Ads	Search	E-commerce	USA	16246	448	0.0276	1.99	891.52
05-06-2024	Meta Ads	Shopping	Fintech	Germany	15789	423	0.0268	1.81	765.63
05-06-2024	Google Ads	Search	EdTech	Australia	25103	710	0.0283	2.34	1661.4
28-12-2024	TikTok Ads	Display	SaaS	India	138515	4377	0.0316	0.51	2232.27
20-02-2024	Meta Ads	Search	EdTech	Australia	180399	6025	0.0334	0.7	4217.5
16-05-2024	Meta Ads	Video	E-commerce	UAE	62545	606	0.0097	1.96	1187.76
30-06-2024	Google Ads	Shopping	Fintech	Canada	72526	2146	0.0296	1.56	3347.76
07-07-2024	Meta Ads	Display	EdTech	Australia	67823	2075	0.0306	1.83	3797.25
23-06-2024	Meta Ads	Display	E-commerce	India	164937	4453	0.027	1.08	4809.24
14-12-2024	Meta Ads	Search	EdTech	UK	114575	2039	0.0178	0.53	1080.67
13-06-2024	Google Ads	Shopping	Fintech	Germany	132157	2999	0.0227	0.93	2789.07
11-01-2024	TikTok Ads	Video	Healthcare	Germany	108145	3882	0.0359	0.94	3649.08
29-04-2024	TikTok Ads	Search	SaaS	India	72642	3014	0.0415	1.16	3496.24
07-04-2024	TikTok Ads	Display	Healthcare	UAE	131678	8374	0.0636	0.91	7620.34
13-05-2024	Google Ads	Video	E-commerce	Australia	34402	1314	0.0382	3.29	4323.06
08-10-2024	Meta Ads	Video	Healthcare	Germany	58276	1183	0.0203	1.49	1762.67
14-08-2024	Google Ads	Shopping	EdTech	Canada	168059	3462	0.0206	3.08	10662.96
16-08-2024	Meta Ads	Video	Fintech	Canada	91123	1567	0.0172	2.33	3651.11
28-05-2024	Meta Ads	Shopping	Fintech	Australia	16344	452	0.0277	0.9	406.8
26-03-2024	TikTok Ads	Video	SaaS	UAE	99457	5808	0.0584	1.6	9292.8
07-06-2024	Meta Ads	Video	E-commerce	India	57375	843	0.0147	1.61	1357.23
17-04-2024	Google Ads	Display	E-commerce	UAE	115017	2771	0.0241	2.56	7093.76
28-09-2024	Meta Ads	Search	EdTech	USA	90431	1853	0.0205	1.7	3150.1
13-03-2024	Meta Ads	Search	E-commerce	USA	140566	5046	0.0359	0.62	3128.52
28-02-2024	Meta Ads	Search	EdTech	Germany	133583	3954	0.0296	0.65	2570.1
08-04-2024	Google Ads	Video	E-commerce	USA	198555	13104	0.066	2.46	32235.84
23-09-2024	Meta Ads	Display	Healthcare	UK	88560	1319	0.0149	0.52	685.88
24-06-2024	Google Ads	Display	Fintech	UAE	117217	5602	0.0478	3.49	19550.98
24-08-2024	Meta Ads	Shopping	Fintech	UAE	104616	4048	0.0387	1.77	7164.96
14-02-2024	TikTok Ads	Video	Healthcare	Canada	79553	2712	0.0341	0.31	840.72
20-08-2024	Google Ads	Search	Fintech	USA	170904	4751	0.0278	1.12	5321.12
14-07-2024	Google Ads	Search	Healthcare	India	88807	4999	0.0563	2.37	11847.63
14-08-2024	Meta Ads	Shopping	EdTech	Canada	157499	1574	0.01	1.76	2770.24
27-09-2024	Meta Ads	Search	E-commerce	Australia	46846	983	0.021	0.72	707.76
18-09-2024	TikTok Ads	Search	Fintech	Germany	104986	6131	0.0584	0.36	2207.16
24-05-2024	Meta Ads	Shopping	EdTech	India	172516	6314	0.0366	0.72	4546.08
23-08-2024	Meta Ads	Display	E-commerce	India	187099	2469	0.0132	0.83	2049.27
04-04-2024	Google Ads	Shopping	SaaS	India	111661	3930	0.0352	0.84	3301.2
09-06-2024	Meta Ads	Display	EdTech	Germany	79441	3082	0.0388	0.53	1633.46
15-04-2024	Google Ads	Display	SaaS	Australia	14078	763	0.0542	2.26	1724.38
07-01-2024	Meta Ads	Shopping	Fintech	Australia	182235	5047	0.0277	0.74	3734.78
24-02-2024	Meta Ads	Video	SaaS	Canada	128629	2109	0.0164	1.29	2720.61
02-04-2024	Meta Ads	Display	Fintech	Canada	21309	432	0.0203	1.66	717.12
06-09-2024	Google Ads	Search	Fintech	USA	167932	6717	0.04	2.46	16523.82
08-01-2024	TikTok Ads	Search	Fintech	UK	162795	8107	0.0498	0.96	7782.72
18-08-2024	Meta Ads	Search	EdTech	UK	50893	1124	0.0221	1.41	1584.84
22-09-2024	TikTok Ads	Display	SaaS	UAE	81619	3623	0.0444	0.47	1702.81
25-07-2024	Meta Ads	Search	EdTech	Germany	154381	1698	0.011	1.85	3141.3
12-01-2024	Google Ads	Search	Fintech	India	124273	3603	0.029	1.55	5584.65
01-12-2024	Meta Ads	Video	Healthcare	Germany	6969	176	0.0253	1.08	190.08
24-05-2024	TikTok Ads	Display	SaaS	UK	29089	1076	0.037	0.65	699.4
